epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.208,1.17732,1.49765,0.95835,0.80841,0.75968,0.83199,0.49223,1.28587,1.23697,1.00977,0.000664583,0.000664583,0.000664583
2,224.886,1.26294,1.63386,0.98583,0.82308,0.80482,0.86471,0.53094,1.26157,1.05289,1.00544,0.00130489,0.00130489,0.00130489
3,334.511,1.29465,1.645,0.98736,0.83337,0.81292,0.88147,0.51531,1.33219,1.20622,1.0161,0.0019188,0.0019188,0.0019188
4,443.777,1.30483,1.54593,0.99489,0.83621,0.81292,0.87696,0.52303,1.28853,1.1052,1.01023,0.0018812,0.0018812,0.0018812
5,553.143,1.30863,1.56434,0.99528,0.86189,0.78734,0.88875,0.52986,1.29219,1.27235,1.0121,0.0018416,0.0018416,0.0018416
6,662.63,1.30932,1.56063,0.99099,0.76331,0.87434,0.86123,0.50913,1.28746,1.1073,1.00909,0.001802,0.001802,0.001802
7,771.815,1.29667,1.57292,0.99081,0.85208,0.79843,0.88661,0.5422,1.27298,1.03179,1.00241,0.0017624,0.0017624,0.0017624
8,880.757,1.30149,1.5543,0.99395,0.84901,0.78266,0.87247,0.51695,1.3117,1.17204,1.01448,0.0017228,0.0017228,0.0017228
9,990.572,1.2897,1.55814,0.99092,0.80281,0.83057,0.86666,0.50752,1.31021,1.07974,1.00987,0.0016832,0.0016832,0.0016832
10,1099.78,1.27839,1.51981,0.98403,0.81842,0.82421,0.86627,0.50927,1.30657,1.15888,1.00871,0.0016436,0.0016436,0.0016436
11,1209.11,1.29384,1.54748,0.985,0.77261,0.85662,0.85216,0.50488,1.2648,1.13461,0.99961,0.001604,0.001604,0.001604
12,1318.51,1.27658,1.51145,0.98601,0.80972,0.84627,0.87803,0.52049,1.2761,1.0755,1.00498,0.0015644,0.0015644,0.0015644
13,1427.79,1.27838,1.53663,0.98493,0.81796,0.83768,0.88259,0.53162,1.26467,1.20473,1.00507,0.0015248,0.0015248,0.0015248
14,1536.53,1.28596,1.58104,0.98889,0.8068,0.84989,0.8779,0.51984,1.25942,1.16181,1.00325,0.0014852,0.0014852,0.0014852
15,1645.28,1.29123,1.60374,0.99583,0.7862,0.85965,0.87397,0.52081,1.28082,1.1993,1.00302,0.0014456,0.0014456,0.0014456
16,1754.74,1.28662,1.55953,0.98936,0.84501,0.7897,0.86873,0.52581,1.28039,1.14173,1.01187,0.001406,0.001406,0.001406
17,1863.55,1.2882,1.55107,0.99514,0.79121,0.85886,0.86997,0.51666,1.26929,1.15707,1.00285,0.0013664,0.0013664,0.0013664
18,1972.75,1.27841,1.53599,0.98343,0.83326,0.81198,0.87729,0.53325,1.2536,1.12929,0.99673,0.0013268,0.0013268,0.0013268
19,2081.74,1.27159,1.55117,0.98658,0.79492,0.85228,0.86222,0.51762,1.26012,1.10463,0.99578,0.0012872,0.0012872,0.0012872
20,2191.12,1.27474,1.57286,0.98753,0.82604,0.82344,0.85979,0.51136,1.26759,1.23955,1.00069,0.0012476,0.0012476,0.0012476
21,2300.49,1.2626,1.50164,0.98328,0.77674,0.85191,0.84185,0.49887,1.27528,1.06011,1.00156,0.001208,0.001208,0.001208
22,2409.48,1.27018,1.55878,0.98512,0.77371,0.86251,0.84652,0.50086,1.24271,1.08848,0.99541,0.0011684,0.0011684,0.0011684
23,2518.56,1.25752,1.5556,0.9801,0.78705,0.8467,0.85444,0.51008,1.26422,0.97845,1,0.0011288,0.0011288,0.0011288
24,2627.99,1.26527,1.57854,0.98284,0.83956,0.80369,0.8612,0.52107,1.2446,1.24642,0.99309,0.0010892,0.0010892,0.0010892
25,2737.15,1.25611,1.52045,0.98291,0.83327,0.8381,0.88387,0.53865,1.24491,1.23602,0.99234,0.0010496,0.0010496,0.0010496
26,2846.26,1.25534,1.51216,0.9791,0.83893,0.81357,0.86484,0.51825,1.28155,1.12898,1.00511,0.00101,0.00101,0.00101
27,2955.63,1.25532,1.5052,0.98353,0.80315,0.8238,0.8429,0.50872,1.26011,1.14773,1.00255,0.0009704,0.0009704,0.0009704
28,3065.1,1.24613,1.51263,0.97487,0.79569,0.83499,0.8401,0.49681,1.26402,1.20462,1.00042,0.0009308,0.0009308,0.0009308
29,3174.3,1.24991,1.56106,0.97737,0.7987,0.82399,0.8387,0.48858,1.27322,1.3614,0.99789,0.0008912,0.0008912,0.0008912
30,3283.84,1.25615,1.49007,0.97411,0.75331,0.86602,0.83275,0.48432,1.25901,1.03744,1.00161,0.0008516,0.0008516,0.0008516
31,3393.03,1.24507,1.50594,0.97412,0.78238,0.82522,0.83423,0.49589,1.24819,1.09064,0.9934,0.000812,0.000812,0.000812
32,3502.47,1.24726,1.53762,0.98229,0.81082,0.82044,0.85539,0.51943,1.2398,1.05398,0.99378,0.0007724,0.0007724,0.0007724
33,3611.6,1.24364,1.49769,0.97215,0.80371,0.8276,0.86552,0.50576,1.26808,1.13597,1.00175,0.0007328,0.0007328,0.0007328
34,3720.93,1.24432,1.49119,0.97855,0.80982,0.79295,0.84461,0.50269,1.25691,1.20892,0.99892,0.0006932,0.0006932,0.0006932
35,3829.85,1.2341,1.57909,0.97072,0.82826,0.79903,0.86155,0.51938,1.2442,1.16411,0.99402,0.0006536,0.0006536,0.0006536
36,3939.19,1.21982,1.47401,0.96713,0.79751,0.79527,0.84314,0.50524,1.25175,1.18447,0.99809,0.000614,0.000614,0.000614
37,4048.38,1.23083,1.48168,0.9708,0.81209,0.77192,0.85031,0.5155,1.23207,1.11755,0.99071,0.0005744,0.0005744,0.0005744
38,4157.37,1.22476,1.48243,0.96913,0.78105,0.83173,0.84678,0.50984,1.23577,0.94677,0.98887,0.0005348,0.0005348,0.0005348
39,4266.26,1.22039,1.51393,0.96954,0.77719,0.81162,0.83456,0.50083,1.24252,1.04575,0.99427,0.0004952,0.0004952,0.0004952
40,4375.69,1.22041,1.51459,0.96661,0.78869,0.76742,0.83958,0.51337,1.23002,1.04848,0.9913,0.0004556,0.0004556,0.0004556
41,4484.54,1.19922,8.50147,0.96982,0.77239,0.69966,0.79633,0.46979,1.25621,1.26907,0.99469,0.000416,0.000416,0.000416
42,4592.03,1.18531,6.81334,0.9639,0.81819,0.77263,0.85329,0.51824,1.23983,1.0926,0.99315,0.0003764,0.0003764,0.0003764
43,4699.4,1.14803,14.3772,0.93762,0.77654,0.73899,0.80783,0.48533,1.23827,1.23967,0.99412,0.0003368,0.0003368,0.0003368
44,4807.33,1.16802,13.1601,0.94421,0.77229,0.68577,0.79163,0.47097,1.24767,1.25638,0.99499,0.0002972,0.0002972,0.0002972
45,4914.61,1.17552,7.02829,0.96663,0.75874,0.77335,0.81298,0.48939,1.23907,1.05619,0.99407,0.0002576,0.0002576,0.0002576
46,5022.06,1.18926,2.64602,0.96637,0.78944,0.7299,0.8099,0.48918,1.23545,1.18596,0.9919,0.000218,0.000218,0.000218
47,5129.56,1.16469,6.38636,0.95644,0.76045,0.6971,0.78706,0.47401,1.2355,1.23785,0.99415,0.0001784,0.0001784,0.0001784
48,5237.36,1.17001,5.98468,0.95715,0.77923,0.66028,0.78497,0.46811,1.23422,1.32213,0.99221,0.0001388,0.0001388,0.0001388
