epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.251,1.61175,0.95653,1.12609,0.82238,0.7829,0.86385,0.48953,1.43166,0.75475,1.08894,0.00066532,0.00066532,0.00066532
2,278.863,1.50551,0.80722,1.06923,0.83967,0.7903,0.88129,0.5284,1.33816,0.75504,1.0452,0.00130561,0.00130561,0.00130561
3,409.884,1.47722,0.78542,1.05423,0.83159,0.77906,0.87103,0.50637,1.34601,0.72999,1.05,0.00191951,0.00191951,0.00191951
4,540.097,1.44671,0.76711,1.042,0.85268,0.80091,0.89221,0.53077,1.32283,0.68368,1.0399,0.0018812,0.0018812,0.0018812
5,670.608,1.41989,0.74848,1.03555,0.83511,0.80059,0.88113,0.49935,1.41353,0.70852,1.05945,0.0018416,0.0018416,0.0018416
6,801.466,1.4032,0.73088,1.0265,0.84231,0.80378,0.88664,0.53081,1.33,0.67936,1.04502,0.001802,0.001802,0.001802
7,932.325,1.39097,0.72333,1.02236,0.84362,0.80981,0.89276,0.53608,1.31468,0.7132,1.03765,0.0017624,0.0017624,0.0017624
8,1062.71,1.37727,0.71018,1.01429,0.84997,0.81625,0.89692,0.54137,1.2816,0.69164,1.02383,0.0017228,0.0017228,0.0017228
9,1193.46,1.36142,0.70228,1.0092,0.8365,0.82683,0.895,0.52762,1.32909,0.68721,1.02607,0.0016832,0.0016832,0.0016832
10,1324.08,1.34607,0.69298,1.00309,0.85768,0.819,0.90268,0.55187,1.25906,0.63307,1.01189,0.0016436,0.0016436,0.0016436
11,1454.72,1.34447,0.69032,1.00239,0.85041,0.81921,0.90027,0.5456,1.29655,0.64554,1.01977,0.001604,0.001604,0.001604
12,1585.35,1.33078,0.67958,0.99797,0.8503,0.82565,0.90353,0.55965,1.24211,0.62459,1.0083,0.0015644,0.0015644,0.0015644
13,1716.31,1.32742,0.67261,0.99935,0.85393,0.82204,0.90289,0.55292,1.26194,0.63872,1.01275,0.0015248,0.0015248,0.0015248
14,1847.12,1.33007,0.67497,0.99882,0.84863,0.83491,0.90625,0.55564,1.2521,0.63698,1.00705,0.0014852,0.0014852,0.0014852
15,1979.24,1.32142,0.67047,0.99776,0.85327,0.82164,0.9048,0.55871,1.25025,0.63005,1.00527,0.0014456,0.0014456,0.0014456
16,2109.34,1.30814,0.66293,0.99452,0.85262,0.82254,0.90408,0.56148,1.23648,0.62484,1.00652,0.001406,0.001406,0.001406
17,2239.56,1.30928,0.66044,0.99251,0.84464,0.82225,0.9005,0.5595,1.24769,0.61896,1.00681,0.0013664,0.0013664,0.0013664
18,2370.22,1.30014,0.65565,0.99033,0.85236,0.82615,0.90579,0.56013,1.24846,0.62942,1.00108,0.0013268,0.0013268,0.0013268
19,2500.8,1.29723,0.64878,0.98948,0.85351,0.83036,0.90802,0.57139,1.21658,0.60239,1.00005,0.0012872,0.0012872,0.0012872
20,2631.73,1.28698,0.64482,0.98531,0.85179,0.8332,0.90797,0.57081,1.21968,0.60735,0.99599,0.0012476,0.0012476,0.0012476
21,2762.11,1.28156,0.64009,0.9857,0.85717,0.83231,0.9084,0.56329,1.23341,0.61166,1.00162,0.001208,0.001208,0.001208
22,2892.55,1.27636,0.63693,0.9811,0.85363,0.83283,0.9099,0.57081,1.21611,0.60146,0.9967,0.0011684,0.0011684,0.0011684
23,3023.14,1.27731,0.63833,0.98294,0.85128,0.8339,0.90887,0.56412,1.2248,0.60448,0.99259,0.0011288,0.0011288,0.0011288
24,3153.36,1.27038,0.63293,0.98239,0.85888,0.83086,0.91228,0.5745,1.21965,0.59063,0.99888,0.0010892,0.0010892,0.0010892
25,3283.74,1.26125,0.62673,0.97835,0.85445,0.83564,0.91158,0.57352,1.20713,0.59499,0.99297,0.0010496,0.0010496,0.0010496
26,3414.17,1.26612,0.62979,0.97685,0.85761,0.8305,0.90913,0.57219,1.2223,0.59581,0.9982,0.00101,0.00101,0.00101
27,3544.26,1.2585,0.6211,0.97944,0.85699,0.8386,0.91307,0.57733,1.20283,0.58201,0.99188,0.0009704,0.0009704,0.0009704
28,3675.08,1.25199,0.62162,0.97472,0.86917,0.82536,0.91188,0.58057,1.19061,0.57379,0.98406,0.0009308,0.0009308,0.0009308
29,3805.39,1.24653,0.61574,0.97219,0.86,0.83633,0.91262,0.57981,1.19545,0.57628,0.98939,0.0008912,0.0008912,0.0008912
30,3935.48,1.24587,0.61507,0.97183,0.85668,0.84388,0.9149,0.58108,1.1956,0.58358,0.98814,0.0008516,0.0008516,0.0008516
31,4066.02,1.24484,0.61063,0.97102,0.86008,0.83412,0.91308,0.57954,1.19495,0.57334,0.98368,0.000812,0.000812,0.000812
32,4196.28,1.24234,0.61061,0.96927,0.8573,0.83245,0.91107,0.57714,1.19626,0.57176,0.98475,0.0007724,0.0007724,0.0007724
33,4327.11,1.24055,0.60996,0.96734,0.85534,0.84417,0.91537,0.57694,1.20606,0.58091,0.98453,0.0007328,0.0007328,0.0007328
34,4458.34,1.22992,0.60144,0.96528,0.85957,0.83782,0.91468,0.58027,1.19646,0.57123,0.98779,0.0006932,0.0006932,0.0006932
35,4589.23,1.23471,0.60488,0.96687,0.85626,0.84468,0.91568,0.58258,1.18577,0.56869,0.97773,0.0006536,0.0006536,0.0006536
36,4720.04,1.22507,0.59942,0.9645,0.85869,0.83694,0.91429,0.58438,1.18116,0.57282,0.98233,0.000614,0.000614,0.000614
37,4851.2,1.22133,0.59339,0.96148,0.86159,0.83998,0.91544,0.58415,1.18223,0.56346,0.97808,0.0005744,0.0005744,0.0005744
38,4982.21,1.21525,0.5925,0.96199,0.861,0.83799,0.91492,0.58087,1.1901,0.5665,0.98077,0.0005348,0.0005348,0.0005348
39,5113,1.2145,0.58958,0.96101,0.8631,0.83687,0.91666,0.58355,1.1828,0.56223,0.98018,0.0004952,0.0004952,0.0004952
40,5243.55,1.20776,0.58636,0.95912,0.86038,0.84164,0.91681,0.5852,1.18247,0.56176,0.98243,0.0004556,0.0004556,0.0004556
41,5369.43,1.21173,0.57866,0.97069,0.86391,0.83168,0.9146,0.58348,1.18193,0.57329,0.98178,0.000416,0.000416,0.000416
42,5494.51,1.19885,0.57187,0.96382,0.86323,0.83831,0.91672,0.58942,1.17232,0.55444,0.97933,0.0003764,0.0003764,0.0003764
43,5619.4,1.19277,0.56663,0.9623,0.87412,0.83072,0.91657,0.58893,1.17222,0.55175,0.97525,0.0003368,0.0003368,0.0003368
44,5743.78,1.1836,0.56295,0.95894,0.86469,0.8391,0.9173,0.58772,1.17622,0.55456,0.97874,0.0002972,0.0002972,0.0002972
45,5868.26,1.17784,0.55804,0.95682,0.86846,0.83839,0.9176,0.5855,1.18013,0.55548,0.97686,0.0002576,0.0002576,0.0002576
46,5992.73,1.17232,0.55539,0.95667,0.85583,0.84299,0.91619,0.58481,1.17848,0.55415,0.98087,0.000218,0.000218,0.000218
47,6120.01,1.17111,0.55321,0.95634,0.87261,0.83491,0.91734,0.58923,1.16643,0.54801,0.97415,0.0001784,0.0001784,0.0001784
48,6244.28,1.15987,0.5472,0.95027,0.86842,0.8373,0.91811,0.58943,1.1695,0.54602,0.97701,0.0001388,0.0001388,0.0001388
49,6368.64,1.15725,0.5449,0.95165,0.87006,0.83737,0.91763,0.58857,1.17072,0.54881,0.97994,9.92e-05,9.92e-05,9.92e-05
