epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.08,3.48399,2.43176,2.14793,0.77221,0.77228,0.82897,0.49041,2.9103,1.60049,2.03296,0.00066532,0.00066532,0.00066532
2,254.3,3.24304,1.74736,2.05212,0.79173,0.79527,0.86381,0.50287,2.93479,1.60359,2.04245,0.00130561,0.00130561,0.00130561
3,378.113,3.19092,1.68665,2.02979,0.80863,0.75994,0.85161,0.49839,2.91694,1.51875,2.0372,0.00191951,0.00191951,0.00191951
4,500.728,3.1352,1.62848,2.01241,0.82598,0.79715,0.88015,0.52902,2.78427,1.41186,1.9887,0.0018812,0.0018812,0.0018812
5,623.135,3.07176,1.5801,2.00084,0.82261,0.7951,0.87762,0.51578,2.86571,1.40151,2.00502,0.0018416,0.0018416,0.0018416
6,746.973,3.03016,1.54304,1.98198,0.83645,0.80696,0.89067,0.54717,2.74259,1.35558,1.98967,0.001802,0.001802,0.001802
7,870.026,2.99169,1.51791,1.97416,0.82217,0.80663,0.88422,0.52909,2.81195,1.4181,1.99904,0.0017624,0.0017624,0.0017624
8,992.778,2.98012,1.49959,1.96632,0.83803,0.804,0.88704,0.52602,2.80525,1.46865,1.98707,0.0017228,0.0017228,0.0017228
9,1116.01,2.94571,1.47916,1.95718,0.82604,0.81661,0.88981,0.53506,2.7694,1.35084,1.97536,0.0016832,0.0016832,0.0016832
10,1239.3,2.92794,1.46269,1.94812,0.84718,0.8013,0.89254,0.54855,2.71596,1.27268,1.95701,0.0016436,0.0016436,0.0016436
11,1362.77,2.918,1.4507,1.94568,0.84015,0.81299,0.89451,0.55304,2.71561,1.27509,1.96459,0.001604,0.001604,0.001604
12,1485.66,2.88128,1.42956,1.93819,0.84303,0.82392,0.90138,0.55596,2.68543,1.27189,1.96049,0.0015644,0.0015644,0.0015644
13,1609.26,2.86871,1.4102,1.93813,0.83988,0.81545,0.89534,0.54299,2.70701,1.33184,1.96705,0.0015248,0.0015248,0.0015248
14,1732.65,2.87542,1.41662,1.93643,0.84237,0.81885,0.89591,0.55493,2.67303,1.28272,1.95593,0.0014852,0.0014852,0.0014852
15,1856.72,2.86161,1.41079,1.9364,0.84454,0.82139,0.90022,0.55424,2.66386,1.30708,1.95008,0.0014456,0.0014456,0.0014456
16,1978.89,2.82694,1.3871,1.92825,0.85035,0.81558,0.89942,0.55236,2.71217,1.25179,1.95555,0.001406,0.001406,0.001406
17,2101.58,2.8367,1.3885,1.92652,0.83883,0.81632,0.89615,0.55631,2.6896,1.24977,1.9555,0.0013664,0.0013664,0.0013664
18,2224.7,2.8279,1.38334,1.92358,0.83269,0.82377,0.8995,0.56239,2.66232,1.23135,1.94247,0.0013268,0.0013268,0.0013268
19,2347.79,2.80116,1.36249,1.9155,0.8376,0.8276,0.89997,0.56314,2.65438,1.23022,1.9454,0.0012872,0.0012872,0.0012872
20,2471.05,2.79985,1.35852,1.91794,0.83977,0.8211,0.89818,0.56666,2.6336,1.24069,1.93985,0.0012476,0.0012476,0.0012476
21,2594.03,2.77383,1.34241,1.91526,0.85065,0.82616,0.90428,0.56505,2.64936,1.23263,1.94104,0.001208,0.001208,0.001208
22,2717.22,2.7736,1.33935,1.91058,0.84946,0.82312,0.90495,0.57156,2.61396,1.20195,1.93663,0.0011684,0.0011684,0.0011684
23,2840.81,2.77539,1.3396,1.91216,0.84169,0.82847,0.90031,0.56116,2.63037,1.22672,1.93539,0.0011288,0.0011288,0.0011288
24,2964.04,2.75924,1.33809,1.90948,0.84259,0.83101,0.90493,0.56752,2.62811,1.23973,1.94199,0.0010892,0.0010892,0.0010892
25,3086.75,2.73392,1.31905,1.89994,0.84913,0.83063,0.90812,0.57743,2.58891,1.20226,1.93071,0.0010496,0.0010496,0.0010496
26,3209.71,2.74848,1.32075,1.9021,0.84157,0.83506,0.90593,0.57194,2.62463,1.2026,1.93358,0.00101,0.00101,0.00101
27,3332.34,2.73686,1.31021,1.90432,0.85403,0.82408,0.90603,0.57177,2.60823,1.20116,1.93347,0.0009704,0.0009704,0.0009704
28,3455.52,2.71939,1.30553,1.89919,0.85934,0.82164,0.90819,0.57957,2.58141,1.15715,1.92197,0.0009308,0.0009308,0.0009308
29,3578.26,2.70726,1.29267,1.893,0.84959,0.83239,0.90752,0.57823,2.58733,1.17856,1.92962,0.0008912,0.0008912,0.0008912
30,3700.89,2.70296,1.29156,1.89036,0.85492,0.83002,0.90831,0.57851,2.58167,1.19342,1.92664,0.0008516,0.0008516,0.0008516
31,3823.71,2.70128,1.28593,1.89102,0.84704,0.83727,0.90913,0.5777,2.58507,1.16713,1.92093,0.000812,0.000812,0.000812
32,3946.5,2.70729,1.29322,1.88824,0.84286,0.83737,0.90739,0.57712,2.59166,1.16351,1.92065,0.0007724,0.0007724,0.0007724
33,4069.77,2.69562,1.28726,1.88814,0.84298,0.84019,0.91058,0.57629,2.59351,1.18991,1.92735,0.0007328,0.0007328,0.0007328
34,4193.81,2.67786,1.27339,1.87948,0.85108,0.83556,0.90935,0.57766,2.57926,1.16358,1.92188,0.0006932,0.0006932,0.0006932
35,4317.4,2.69028,1.27881,1.88327,0.85041,0.83778,0.91116,0.58171,2.57502,1.15014,1.91383,0.0006536,0.0006536,0.0006536
